instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,casual_p,registerd_p,Cluster
1,2011-01-01,Spring,2011,January,0,No Holiday,Saturday,Non-Working Day,Few Clouds,0.24,0.2879,0.81,0.0,3,13,16,18.75,81.25,Night Owl
2,2011-01-01,Spring,2011,January,1,No Holiday,Saturday,Non-Working Day,Few Clouds,0.22,0.2727,0.8,0.0,8,32,40,20.0,80.0,Night Owl
3,2011-01-01,Spring,2011,January,2,No Holiday,Saturday,Non-Working Day,Few Clouds,0.22,0.2727,0.8,0.0,5,27,32,15.625,84.375,Night Owl
4,2011-01-01,Spring,2011,January,3,No Holiday,Saturday,Non-Working Day,Few Clouds,0.24,0.2879,0.75,0.0,3,10,13,23.076923076923077,76.92307692307693,Night Owl
5,2011-01-01,Spring,2011,January,4,No Holiday,Saturday,Non-Working Day,Few Clouds,0.24,0.2879,0.75,0.0,0,1,1,0.0,100.0,Night Owl
6,2011-01-01,Spring,2011,January,5,No Holiday,Saturday,Non-Working Day,Cloudy,0.24,0.2576,0.75,0.0896,0,1,1,0.0,100.0,All-Day Rider
7,2011-01-01,Spring,2011,January,6,No Holiday,Saturday,Non-Working Day,Few Clouds,0.22,0.2727,0.8,0.0,2,0,2,100.0,0.0,All-Day Rider
8,2011-01-01,Spring,2011,January,7,No Holiday,Saturday,Non-Working Day,Few Clouds,0.2,0.2576,0.86,0.0,1,2,3,33.33333333333333,66.66666666666666,Commuter
9,2011-01-01,Spring,2011,January,8,No Holiday,Saturday,Non-Working Day,Few Clouds,0.24,0.2879,0.75,0.0,1,7,8,12.5,87.5,Commuter
10,2011-01-01,Spring,2011,January,9,No Holiday,Saturday,Non-Working Day,Few Clouds,0.32,0.3485,0.76,0.0,8,6,14,57.14285714285714,42.857142857142854,Commuter
11,2011-01-01,Spring,2011,January,10,No Holiday,Saturday,Non-Working Day,Few Clouds,0.38,0.3939,0.76,0.2537,12,24,36,33.33333333333333,66.66666666666666,All-Day Rider
12,2011-01-01,Spring,2011,January,11,No Holiday,Saturday,Non-Working Day,Few Clouds,0.36,0.3333,0.81,0.2836,26,30,56,46.42857142857143,53.57142857142857,All-Day Rider
13,2011-01-01,Spring,2011,January,12,No Holiday,Saturday,Non-Working Day,Few Clouds,0.42,0.4242,0.77,0.2836,29,55,84,34.523809523809526,65.47619047619048,All-Day Rider
14,2011-01-01,Spring,2011,January,13,No Holiday,Saturday,Non-Working Day,Cloudy,0.46,0.4545,0.72,0.2985,47,47,94,50.0,50.0,All-Day Rider
15,2011-01-01,Spring,2011,January,14,No Holiday,Saturday,Non-Working Day,Cloudy,0.46,0.4545,0.72,0.2836,35,71,106,33.0188679245283,66.98113207547169,All-Day Rider
16,2011-01-01,Spring,2011,January,15,No Holiday,Saturday,Non-Working Day,Cloudy,0.44,0.4394,0.77,0.2985,40,70,110,36.36363636363637,63.63636363636363,All-Day Rider
17,2011-01-01,Spring,2011,January,16,No Holiday,Saturday,Non-Working Day,Cloudy,0.42,0.4242,0.82,0.2985,41,52,93,44.086021505376344,55.91397849462365,All-Day Rider
18,2011-01-01,Spring,2011,January,17,No Holiday,Saturday,Non-Working Day,Cloudy,0.44,0.4394,0.82,0.2836,15,52,67,22.388059701492537,77.61194029850746,Commuter
19,2011-01-01,Spring,2011,January,18,No Holiday,Saturday,Non-Working Day,Rain,0.42,0.4242,0.88,0.2537,9,26,35,25.71428571428571,74.28571428571429,Commuter
